b,q,mean,stdev,delta
0.137078405,2.032402317,0.023101743,0.002239138,0.987265478
0.120606895,3.279107081,0.047283014,0.001667307,0.933004963
0.441488174,4.282712431,0.029902955,0.002356401,0.956077435
0.192153961,3.303471313,0.012662634,0.001903339,0.944372115
0.27346266,2.300749941,0.035308018,0.003473691,0.946532542
0.442207511,3.774622539,0.010554941,0.004276866,0.971660928
0.301653013,3.675816648,0.038389178,0.004053571,0.967774156
0.294544863,4.117632055,0.019324335,0.003126413,0.937144188
0.185243083,2.174443764,0.02030081,0.001379383,0.97069502
0.367531268,3.87841539,0.01499781,0.003251608,0.953348354
0.395311893,3.745014259,0.010634332,0.002105413,0.974595537
0.218720428,2.366604448,0.030723293,0.002640518,0.973965092
0.372124109,2.224774819,0.024393224,0.004407756,0.93138692
0.274826212,4.464517038,0.011347991,0.0035373,0.946362257
0.235091798,3.373169572,0.023343156,0.003632734,0.980270466
0.250259486,2.04960679,0.027883327,0.003135422,0.98289943
0.255866873,3.969548359,0.025967377,0.004282379,0.965372657
0.103159956,4.473022305,0.029952275,0.003049388,0.987800321
0.332003345,2.413803924,0.012469527,0.003431848,0.936792281
0.187702174,3.329784228,0.033573387,0.004508878,0.940808493
0.167738585,2.176334771,0.010843998,0.001355318,0.938463571
0.438118519,4.144669916,0.044276265,0.0044546,0.952778624
0.131404057,2.849294911,0.019465883,0.004669355,0.951870593
0.412833839,2.691427944,0.042275819,0.00386466,0.932963523
0.414018201,2.404447103,0.033161087,0.002716156,0.963800545
0.355454867,3.743856717,0.035367407,0.003792265,0.964066688
0.431760145,3.090778451,0.046592751,0.001776437,0.960266903
0.302874331,2.046942227,0.03229735,0.002810819,0.9559166
0.381263494,3.972678896,0.024279335,0.004481227,0.950319604
0.283447322,2.162180601,0.045688943,0.003121969,0.967194233
0.30202644,3.689889636,0.025183419,0.001938701,0.981532528
0.101142907,3.383715051,0.021922646,0.004544559,0.952901441
0.270981614,3.130777606,0.039392676,0.00338803,0.9450144
0.180682824,3.07310276,0.021322927,0.004867597,0.938908416
0.362944586,2.683109661,0.037999483,0.00313783,0.968808709
0.339448556,2.489567336,0.028609843,0.003996383,0.982394105
0.371523357,2.189401323,0.045749744,0.002365611,0.939602531
0.18806649,2.180599637,0.041864482,0.003629597,0.962028062
0.306790753,4.261552274,0.029568834,0.001868218,0.974735299
0.289007564,3.576861774,0.034743591,0.004135247,0.956341921
0.286185579,3.393011783,0.035638076,0.003717461,0.953484073
0.16962944,2.750279839,0.035516203,0.004564442,0.938604449
0.424321262,2.311101706,0.035655602,0.002813499,0.982037729
0.424086489,3.619472463,0.035473686,0.001576482,0.969008955
0.393792919,2.614870272,0.040901223,0.002397435,0.930877106
0.432288216,4.02433207,0.048577638,0.00128605,0.965700316
0.409393959,3.364964803,0.014343567,0.002576416,0.989792868
0.278615857,3.996383378,0.02612116,0.003069094,0.931147079
0.342401655,3.422806668,0.024305907,0.00133473,0.975628126
0.217462468,3.36682284,0.019697309,0.001553788,0.938805208
0.284271047,2.447746048,0.023563162,0.003670178,0.953309271
0.207191961,3.959647812,0.024926305,0.004496401,0.960577155
0.232609879,2.686956371,0.037450012,0.003886288,0.981710801
0.268402877,2.997491609,0.033535168,0.001647913,0.966241478
0.280674015,2.531488393,0.044705987,0.001639731,0.981216792
0.165069111,3.852841586,0.035796072,0.003332412,0.950562385
0.258647176,2.337360258,0.04141103,0.001587888,0.956966498
0.199500235,2.586085257,0.026347876,0.001414965,0.937005457
0.252711539,3.298195198,0.016247626,0.003028719,0.931498651
0.140483229,3.606137025,0.039311367,0.001505417,0.953177931
0.195920037,3.607900476,0.022865401,0.002200235,0.955807367
0.274036563,2.344992849,0.025710312,0.0035902,0.980493991
0.369839202,2.382904763,0.028198118,0.003680915,0.95993684
0.149311269,2.680000294,0.010204214,0.002225695,0.963758283
0.379168236,3.917353839,0.043928763,0.00309811,0.958770748
0.42073387,2.564343595,0.049927413,0.004927308,0.983766849
0.226937585,2.714029733,0.010943902,0.002935726,0.961317791
0.337409014,4.317180986,0.022359811,0.001069455,0.964817388
0.216429472,3.146628824,0.038838067,0.003442622,0.932429532
0.188220394,4.309920161,0.015697639,0.003226042,0.985565378
0.184285091,3.965017003,0.041010036,0.001222008,0.986425845
0.43129183,2.437549274,0.037339604,0.001227161,0.987635821
0.359201088,2.070969676,0.043913982,0.003059587,0.967516212
0.344321563,3.11935871,0.025906457,0.003586077,0.985315138
0.406030675,4.111990116,0.023616615,0.003625097,0.96636627
0.175838159,2.197150753,0.012702324,0.003907533,0.943986125
0.330241836,2.078102594,0.045487748,0.002272645,0.987965134
0.380074581,3.723655212,0.015068945,0.004528009,0.943373208
0.135104719,3.655624211,0.020031141,0.00430604,0.943045855
0.151105003,3.701101529,0.039835447,0.002673161,0.931527843
0.365779473,2.35357128,0.033248763,0.004163396,0.947576527
0.311842735,3.234167136,0.049723886,0.003266814,0.94000369
0.285514285,4.415984491,0.044784186,0.003580361,0.957717583
0.392578109,4.178790431,0.013317568,0.003818849,0.948098859
0.120017814,3.355682315,0.013747299,0.001014083,0.94296505
0.110824285,3.903770617,0.038762561,0.003275605,0.988522987
0.116191099,4.380590788,0.025036626,0.004521959,0.932906868
0.331054831,2.577530741,0.029829215,0.003614533,0.983476317
0.204859103,2.507492367,0.036008646,0.002701827,0.938549922
0.16254985,2.145560875,0.043843478,0.002709333,0.983928257
0.130512847,3.24188187,0.033746838,0.001420651,0.958486294
0.111696625,2.271626969,0.0276,0.002685045,0.933728338
0.21943427,4.495417123,0.049143623,0.004264165,0.98018965
0.194780314,2.843500786,0.010992089,0.001132474,0.977171419
0.252109153,4.162095061,0.015954447,0.002477398,0.964708801
0.391434836,2.347076502,0.034122067,0.001268198,0.988808592
0.437198488,4.497503508,0.024537086,0.003487048,0.948426012
0.395899045,2.689039423,0.035408718,0.003555762,0.984472953
0.108183555,2.513539008,0.024879799,0.002609967,0.987469753
0.212841871,3.052931307,0.012837252,0.002794244,0.957272896
