policy,b,q,mean,stdev,delta,max_P,utility,inertia,reliability
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.137078405,2.032402317,0.023101743,0.002239138,0.987265478,8.09122581724381,2.043688894677257,0.9797979797979798,0.01999999999999999
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.120606895,3.279107081,0.047283014,0.001667307,0.933004963,9.507219160763116,0.3897992589702433,0.9797979797979798,0.07650000000000003
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.441488174,4.282712431,0.029902955,0.002356401,0.956077435,0.1302786590940765,0.27291946281906837,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.192153961,3.303471313,0.012662634,0.001903339,0.944372115,0.16176008381108128,0.16143268067365246,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.27346266,2.300749941,0.035308018,0.003473691,0.946532542,4.008523544538075,0.4197480394792784,0.9797979797979798,0.14039999999999994
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.442207511,3.774622539,0.010554941,0.004276866,0.971660928,0.11083876828927489,0.5240716953425005,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.301653013,3.675816648,0.038389178,0.004053571,0.967774156,0.17517810162018083,0.1947153688973107,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.294544863,4.117632055,0.019324335,0.003126413,0.937144188,0.14291907032144616,0.17835634789622606,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.185243083,2.174443764,0.02030081,0.001379383,0.97069502,5.938451031281733,1.0024189461801711,0.9797979797979798,0.060100000000000146
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.367531268,3.87841539,0.01499781,0.003251608,0.953348354,0.12381537047784852,0.28409978641701433,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.395311893,3.745014259,0.010634332,0.002105413,0.974595537,0.114636474086789,0.522660528460255,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.218720428,2.366604448,0.030723293,0.002640518,0.973965092,5.074928818915194,1.0789084738423624,0.9797979797979798,0.10170000000000005
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.372124109,2.224774819,0.024393224,0.004407756,0.93138692,0.1561658118628092,0.14099668339690966,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.274826212,4.464517038,0.011347991,0.0035373,0.946362257,0.13471837763697608,0.2235332436856357,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.235091798,3.373169572,0.023343156,0.003632734,0.980270466,0.16995458557719006,0.2956146446711937,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.250259486,2.04960679,0.027883327,0.003135422,0.98289943,4.318141552304202,1.609384955895682,0.9797979797979798,0.07040000000000003
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.255866873,3.969548359,0.025967377,0.004282379,0.965372657,0.165566847240378,0.21409549527644883,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.103159956,4.473022305,0.029952275,0.003049388,0.987800321,10.950521041842793,1.733284390274708,0.9797979797979798,0.21020000000000005
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.332003345,2.413803924,0.012469527,0.003431848,0.936792281,0.13636280727874384,0.18869361951286948,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.187702174,3.329784228,0.033573387,0.004508878,0.940808493,6.025656924164411,0.14539238592924653,0.9797979797979798,0.37700000000000017
"{'length': 3, 'rbfs': [{'center': 0.45381811423823615, 'radius': 0.9780436082392754, 'weight': 0.3340825598068707}, {'center': 0.2711331410916764, 'radius': 0.4973347041959195, 'weight': 0.6424603760765633}, {'center': 0.08551774062178585, 'radius': 1.7849076893180078, 'weight': 0.02345706411656606}]}",0.167738585,2.176334771,0.010843998,0.001355318,0.938463571,6.523643021813105,0.3680213852406938,0.9797979797979798,0.07010000000000001
